species,scenario,model,macro_f1_mean,macro_f1_std,d2_mean,tp,fp,fn,tn
SYN_B,Synthetic,DT(d=2),0.9953365129835716,0.0104278739809211,0.952628902943308,124,1,0,95
SYN_B,Synthetic,DT(d=3),0.9953365129835716,0.0104278739809211,0.952628902943308,124,1,0,95
SYN_B,Synthetic,DT(d=5),0.9953365129835716,0.0104278739809211,0.952628902943308,124,1,0,95
SYN_B,Synthetic,DT(d=unlim),0.9953365129835716,0.0104278739809211,0.952628902943308,124,1,0,95
SYN_B,Synthetic,LLM (per-fold ensemble),0.9953365129835716,0.0104278739809211,0.952628902943308,124,1,0,95
SYN_B,Synthetic,RF(500),0.9953365129835716,0.0104278739809211,0.9473982454954404,124,1,0,95
SYN_C,Synthetic,Null (majority),0.3638019801980198,0.0034707171960723,-0.0002734578530646,183,137,0,0
SYN_C,Synthetic,GLM (logistic),0.7502791222835619,0.0349056180217684,0.3103606896155543,152,46,31,91
SYN_C,Synthetic,DT(d=2),0.9904037845500756,0.0087603508728963,0.8998661862490678,183,3,0,134
SYN_C,Synthetic,DT(d=3),0.9904037845500756,0.0087603508728963,0.8997813271871837,183,3,0,134
SYN_C,Synthetic,DT(d=5),0.9904037845500756,0.0087603508728963,0.8997813271871837,183,3,0,134
SYN_C,Synthetic,DT(d=unlim),0.9904037845500756,0.0087603508728963,0.8997813271871837,183,3,0,134
SYN_C,Synthetic,LLM (per-fold ensemble),0.9521658977958156,0.0414405669411315,0.3544079280871444,177,9,6,128
SYN_C,Synthetic,RF(500),0.99037346780743,0.0143346670505114,0.8803950790928239,183,3,0,134
