feature,threshold,fold_count
ALT,134.62,4
ALT,95.24,3
ALT,90.33,1
ALT,93.09,1
ALT,93.33,1
ALT,107.42,1
ALT,109.92,1
ALT,158.26,1
FFP,0.06,1
FFP,0.08,1
